samples,acc_x,acc_y,gyr_x,gyr_y,gyr_z
49,0.9696393504713640,-0.019491256035445400,-0.4413000000000000,-1.7612000000000000,-0.36230000000000000
50,0.9767814694212600,-0.022824894433879100,-0.6083000000000000,-1.6406,-0.5238000000000000
51,0.9775913759948610,-0.022245096439660900,-0.7680000000000000,-2.1075,-0.6081000000000000
52,0.9759255771440810,-0.02151779807579560,-0.6137000000000000,-2.0286,-0.7492000000000000
53,0.9753852726364260,-0.022718908240836600,-0.5694000000000000,-1.6462,-0.2086000000000000
54,0.9705249729010420,-0.023306208797091800,-0.5050000000000000,-1.729,-0.16340000000000000
55,0.9700599440991570,-0.021088881605849100,-0.3875000000000000,-1.3829,-0.20490000000000000
56,0.970167590859264,-0.020911861155440500,-0.5192000000000000,-1.4594,-0.05329999999999980
57,0.9742399215124430,-0.023506667251304000,-0.08930000000000010,-1.2144,-0.21440000000000000
58,0.9813253611070040,-0.022506075560971400,-0.21080000000000000,-1.1203,-9.99999999998628E-05
59,0.9807256563148480,-0.024917909173877000,-0.20670000000000000,-1.1876000000000000,-0.2960000000000000
60,0.9821323967001980,-0.02626106784681830,-0.3240000000000000,-1.2339000000000000,-0.26510000000000000
61,0.9839100937629060,-0.022550480724814400,-0.5870999999999970,-1.586500000000000,-0.19480000000000100
62,0.9819409413204310,-0.01982298931847270,-0.5426000000000000,-1.7922,-0.10720000000000000
63,0.9778004774005390,-0.0237815511209231,-0.6113000000000000,-1.8726000000000000,-0.09059999999999980
64,0.9784532703216700,-0.023450418042858700,-0.5016000000000000,-1.4228,-0.15660000000000000
65,0.9732592066098010,-0.024625319257850600,-0.008600000000000080,-1.33,-0.07699999999999980
66,0.9705173402945960,-0.025555246817210800,-0.09960000000000010,-1.2163,0.13570000000000000
67,0.9694441338071620,-0.02497857989221610,-0.25300000000000000,-0.9199,-0.07229999999999990
68,0.9735674318651120,-0.022233572504372100,0.03059999999999990,-1.1358,-0.16010000000000000
69,0.9751543737871750,-0.024136892465826800,0.13940000000000000,-1.2739,-0.06469999999999980
70,0.9759393818582290,-0.027615660424304000,0.06889999999999990,-0.9793,-0.21000000000000000
71,0.9776466648753650,-0.02889713803388520,-0.30480000000000000,-0.9747000000000000,-0.06449999999999990
72,0.9821295857402890,-0.029320912747982300,-0.5159,-0.7206,0.05760000000000010
73,0.9801761586678430,-0.023470935049175900,-0.6544,-0.5671,0.1912000000000000
74,0.9746748800456840,-0.025992436112230000,-0.5487,-0.6052,-0.06319999999999990
75,0.9699627809190700,-0.021293971641692200,-0.46100000000000000,-0.43630000000000000,0.14540000000000000
76,0.9706324295962440,-0.023642493634421600,-0.3123000000000000,-0.4587,-0.09929999999999990
77,0.9700316544385700,-0.023763534968618300,-0.18730000000000000,-0.4593,-0.12030000000000000
78,0.9792570448012320,-0.02517578723621220,-0.3069,-0.3972,-0.01860000000000000
79,0.9834410035741060,-0.02368081672130650,-0.24440000000000000,-0.5365,0.20170000000000000
80,0.9840455800298780,-0.026649340437356300,-0.581,-0.5095,0.10500000000000000
81,0.9779459170664810,-0.026387741104250700,-0.6958999999999990,-0.36830000000000200,-0.12389999999999700
82,0.9772505696134770,-0.026037371457123500,-0.8407000000000000,-0.14000000000000300,-0.3513000000000010
83,0.9770645660954560,-0.02290055026946010,-0.8179999999999970,-0.3687000000000020,-0.4613999999999950
84,0.9732070988156000,-0.023039787817450500,-0.5518,-0.5205,0.030400000000000100
85,0.978722132134827,-0.025072011798116600,-0.6248,-0.6008,-0.22870000000000000
86,0.9796874517801700,-0.021066774056380200,-0.5693000000000010,-0.36770000000000300,-0.43979999999999800
87,0.9772003724717410,-0.023359577021714900,-0.6438999999999990,-0.558299999999998,-0.23060000000000200
88,0.9749963398204280,-0.02619143406769900,-0.6038000000000010,-0.39680000000000200,0.0017999999999974700
89,0.9773106401268530,-0.024800519086538300,-0.4789000000000010,-0.3999000000000000,0.19929999999999800
90,0.977745788724998,-0.027062211427959600,-0.35900000000000000,-0.4724,-0.006099999999999940
91,0.9751265342803100,-0.022960290670106600,-0.39030000000000000,-0.5475,0.10490000000000000
92,0.9733855497545030,-0.022158426843009600,-0.5854,-0.3102000000000000,-0.04950000000000000
93,0.9773657689527010,-0.02045117383612150,-0.8429000000000000,-0.40990000000000000,0.06890000000000000
94,0.9764797263795490,-0.02180476607200220,-0.5589,-0.34970000000000000,-0.14030000000000000
95,0.9764729940805470,-0.024075521508364300,-0.48340000000000000,-0.34710000000000000,0.0025000000000000400
96,0.9785621174917020,-0.026466608036383500,-0.4358000000000010,-0.164100000000002,-0.05479999999999940
97,0.9759405122442430,-0.025132712526703900,-0.6941999999999970,-0.023900000000001500,-0.08599999999999970
98,0.9797444412414030,-0.024247300168763100,-0.7180000000000000,-0.2692999999999970,-0.11990000000000000
99,0.9800330898115060,-0.023223630597604700,-0.6990000000000000,-0.23120000000000000,0.047200000000000000
100,0.9755557508527380,-0.022344040227804700,-0.6269,-0.3177,-0.42340000000000000
101,0.9757119942080120,-0.022712956208287300,-0.583,-0.3777,-0.03520000000000000
102,0.9754631292235370,-0.02328157038336240,-0.7351,-0.12500000000000000,0.027400000000000000
103,0.979314284347866,-0.020971991689312900,-0.5889,-0.07380000000000000,0.09880000000000000
104,0.9801093758622980,-0.021107898099758900,-0.5047,-0.5988,0.1990000000000000
105,0.982086661082021,-0.023197761763701200,-0.41490000000000000,-1.0437,0.28140000000000000
106,0.9829150539684810,-0.02026439005164870,-0.6309000000000000,-0.8384,0.13930000000000000
107,0.9805659717844530,-0.022008295574941500,-0.519,-0.6385,0.07460000000000010
108,0.9742174638434130,-0.023522692723815000,-0.053300000000000100,-0.9568,0.2458000000000000
109,0.973972140068219,-0.023608892159911900,-0.37620000000000000,-0.8956000000000000,0.3227000000000000
110,0.9724893137003970,-0.026105244635018100,-0.5671,-0.6276,0.06310000000000010
111,0.9729072164092730,-0.028440422070737800,-0.4307000000000000,-0.8425,0.0363000000000001
112,0.978778131257871,-0.026945181463598700,-0.28730000000000000,-0.9547,0.21710000000000000
113,0.97981529543728,-0.026661034430718000,-0.38510000000000000,-0.7037000000000000,0.0669000000000001
114,0.9799726591751520,-0.026832963142357500,-0.6525000000000000,-0.8682000000000000,0.07660000000000010
115,0.9792248338015530,-0.02452058349181430,-1.0934,-1.3424,-0.21980000000000000
116,0.976937632749206,-0.028221017146528200,-0.7789000000000000,-1.4773,-0.10990000000000000
117,0.9775158602071050,-0.028705202490147000,-0.6109000000000000,-1.3428,-0.12250000000000000
118,0.974601595019706,-0.026710481316249700,-0.9101,-1.1892,-0.20880000000000000
119,0.9751607459631990,-0.02751284531414910,-0.6931000000000000,-1.0501,0.22570000000000000
120,0.9761554156312300,-0.021865346759596900,-0.7627000000000000,-1.2294,0.13230000000000000
121,0.9770324051128570,-0.02258254167325240,-0.6098000000000040,-1.2915000000000000,0.10400000000000100
122,0.9766273167799400,-0.022638580809960600,-0.48520000000000300,-1.0992000000000000,0.039300000000001600
123,0.9760885728051880,-0.025227164781041400,-0.36500000000000300,-0.9106000000000040,0.088799999999999
124,0.9767395250977650,-0.02734309734720830,-0.39730000000000000,-0.8877,-0.1660000000000000
125,0.9761273760560440,-0.02640300631714200,-0.6143000000000000,-1.051,0.07030000000000010
126,0.9764500362407140,-0.027506453131293600,-0.5514000000000000,-0.9266,0.2132000000000000
127,0.9737276165663100,-0.025430594249820300,-0.6130000000000000,-1.243,-0.08019999999999980
128,0.9755928535228650,-0.022467632433093900,-0.43220000000000000,-0.9033000000000000,-0.17450000000000000
129,0.9783871177313360,-0.02486472101074280,-0.6266000000000000,-0.8279,0.13870000000000000
130,0.9784664548240230,-0.02545592289925720,-0.42000000000000000,-1.0518,-0.06969999999999990
131,0.9768845646270640,-0.025242379976852500,-0.7150000000000000,-1.3964,0.29560000000000000
